"Date","Violations","Statistics","Value"
2010,"Total, all violations [0]","Actual incidents",2379130
2011,"Total, all violations [0]","Actual incidents",2275917
2012,"Total, all violations [0]","Actual incidents",2244458
2013,"Total, all violations [0]","Actual incidents",2098776
2014,"Total, all violations [0]","Actual incidents",2052925
2015,"Total, all violations [0]","Actual incidents",2118681
2016,"Total, all violations [0]","Actual incidents",2161927
2017,"Total, all violations [0]","Actual incidents",2213293
2018,"Total, all violations [0]","Actual incidents",2280328
2019,"Total, all violations [0]","Actual incidents",2438518
2010,"Total, all violations [0]","Rate per 100,000 population",6996.36
2011,"Total, all violations [0]","Rate per 100,000 population",6627.73
2012,"Total, all violations [0]","Rate per 100,000 population",6465.53
2013,"Total, all violations [0]","Rate per 100,000 population",5982.32
2014,"Total, all violations [0]","Rate per 100,000 population",5793.1
2015,"Total, all violations [0]","Rate per 100,000 population",5934.2
2016,"Total, all violations [0]","Rate per 100,000 population",5987.14
2017,"Total, all violations [0]","Rate per 100,000 population",6056.63
2018,"Total, all violations [0]","Rate per 100,000 population",6153.44
2019,"Total, all violations [0]","Rate per 100,000 population",6487.27
2010,"Total, all violations [0]","Percentage change in rate",-3.92
2011,"Total, all violations [0]","Percentage change in rate",-5.27
2012,"Total, all violations [0]","Percentage change in rate",-2.45
2013,"Total, all violations [0]","Percentage change in rate",-7.47
2014,"Total, all violations [0]","Percentage change in rate",-3.16
2015,"Total, all violations [0]","Percentage change in rate",2.44
2016,"Total, all violations [0]","Percentage change in rate",0.89
2017,"Total, all violations [0]","Percentage change in rate",1.16
2018,"Total, all violations [0]","Percentage change in rate",1.6
2019,"Total, all violations [0]","Percentage change in rate",5.43
2010,"Total, all violations [0]","Total cleared",1096584
2011,"Total, all violations [0]","Total cleared",1066428
2012,"Total, all violations [0]","Total cleared",1050701
2013,"Total, all violations [0]","Total cleared",991939
2014,"Total, all violations [0]","Total cleared",952516
2015,"Total, all violations [0]","Total cleared",951547
2016,"Total, all violations [0]","Total cleared",965760
2017,"Total, all violations [0]","Total cleared",983909
2018,"Total, all violations [0]","Total cleared",992420
2019,"Total, all violations [0]","Total cleared",977085
2010,"Total, all violations [0]","Total, persons charged",656494
2011,"Total, all violations [0]","Total, persons charged",629943
2012,"Total, all violations [0]","Total, persons charged",628614
2013,"Total, all violations [0]","Total, persons charged",595717
2014,"Total, all violations [0]","Total, persons charged",578044
2015,"Total, all violations [0]","Total, persons charged",586305
2016,"Total, all violations [0]","Total, persons charged",602329
2017,"Total, all violations [0]","Total, persons charged",605318
2018,"Total, all violations [0]","Total, persons charged",620626
2019,"Total, all violations [0]","Total, persons charged",642813
2010,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2218.62
2011,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2107.78
2012,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",2080.55
2013,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1951.36
2014,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1874.92
2015,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1888.41
2016,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1918.53
2017,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1904.04
2018,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1923.41
2019,"Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over",1961.45
2010,"Total, all violations [0]","Total, adult charged",576904
2011,"Total, all violations [0]","Total, adult charged",557349
2012,"Total, all violations [0]","Total, adult charged",560984
2013,"Total, all violations [0]","Total, adult charged",537465
2014,"Total, all violations [0]","Total, adult charged",526495
2015,"Total, all violations [0]","Total, adult charged",537067
2016,"Total, all violations [0]","Total, adult charged",555971
2017,"Total, all violations [0]","Total, adult charged",560801
2018,"Total, all violations [0]","Total, adult charged",580229
2019,"Total, all violations [0]","Total, adult charged",604210
2010,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2131.86
2011,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2034.22
2012,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",2019.86
2013,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1910.27
2014,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1849.28
2015,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1871.53
2016,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1915.18
2017,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1906.05
2018,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1941.33
2019,"Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over",1989.72
2010,"Total, all violations [0]","Total, youth charged",79590
2011,"Total, all violations [0]","Total, youth charged",72594
2012,"Total, all violations [0]","Total, youth charged",67630
2013,"Total, all violations [0]","Total, youth charged",58252
2014,"Total, all violations [0]","Total, youth charged",51549
2015,"Total, all violations [0]","Total, youth charged",49238
2016,"Total, all violations [0]","Total, youth charged",46358
2017,"Total, all violations [0]","Total, youth charged",44517
2018,"Total, all violations [0]","Total, youth charged",40397
2019,"Total, all violations [0]","Total, youth charged",38603
2010,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",3146.85
2011,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2917.81
2012,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2771.18
2013,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2434.53
2014,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2184.21
2015,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",2094.4
2016,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1959.68
2017,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1879.11
2018,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1698.26
2019,"Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years",1604.68
2010,"Total, all violations [0]","Total, youth not charged",104587
2011,"Total, all violations [0]","Total, youth not charged",94608
2012,"Total, all violations [0]","Total, youth not charged",86893
2013,"Total, all violations [0]","Total, youth not charged",72146
2014,"Total, all violations [0]","Total, youth not charged",64978
2015,"Total, all violations [0]","Total, youth not charged",62422
2016,"Total, all violations [0]","Total, youth not charged",59373
2017,"Total, all violations [0]","Total, youth not charged",60705
2018,"Total, all violations [0]","Total, youth not charged",53214
2019,"Total, all violations [0]","Total, youth not charged",45265
2010,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4135.19
2011,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3802.63
2012,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3560.49
2013,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3015.2
2014,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2753.21
2015,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2655.2
2016,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2509.86
2017,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2562.42
2018,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2237.07
2019,"Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1881.61
2010,"Total violent Criminal Code violations [100]","Actual incidents",439220
2011,"Total violent Criminal Code violations [100]","Actual incidents",424338
2012,"Total violent Criminal Code violations [100]","Actual incidents",416147
2013,"Total violent Criminal Code violations [100]","Actual incidents",384385
2014,"Total violent Criminal Code violations [100]","Actual incidents",370050
2015,"Total violent Criminal Code violations [100]","Actual incidents",382115
2016,"Total violent Criminal Code violations [100]","Actual incidents",388564
2017,"Total violent Criminal Code violations [100]","Actual incidents",406626
2018,"Total violent Criminal Code violations [100]","Actual incidents",426839
2019,"Total violent Criminal Code violations [100]","Actual incidents",480004
2010,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1291.62
2011,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1235.72
2012,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1198.78
2013,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1095.65
2014,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1044.23
2015,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1070.26
2016,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1076.07
2017,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1112.72
2018,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1151.82
2019,"Total violent Criminal Code violations [100]","Rate per 100,000 population",1276.97
2010,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.29
2011,"Total violent Criminal Code violations [100]","Percentage change in rate",-4.33
2012,"Total violent Criminal Code violations [100]","Percentage change in rate",-2.99
2013,"Total violent Criminal Code violations [100]","Percentage change in rate",-8.6
2014,"Total violent Criminal Code violations [100]","Percentage change in rate",-4.69
2015,"Total violent Criminal Code violations [100]","Percentage change in rate",2.49
2016,"Total violent Criminal Code violations [100]","Percentage change in rate",0.54
2017,"Total violent Criminal Code violations [100]","Percentage change in rate",3.41
2018,"Total violent Criminal Code violations [100]","Percentage change in rate",3.51
2019,"Total violent Criminal Code violations [100]","Percentage change in rate",10.87
2010,"Total violent Criminal Code violations [100]","Total cleared",317212
2011,"Total violent Criminal Code violations [100]","Total cleared",303431
2012,"Total violent Criminal Code violations [100]","Total cleared",298470
2013,"Total violent Criminal Code violations [100]","Total cleared",276781
2014,"Total violent Criminal Code violations [100]","Total cleared",266422
2015,"Total violent Criminal Code violations [100]","Total cleared",269834
2016,"Total violent Criminal Code violations [100]","Total cleared",276071
2017,"Total violent Criminal Code violations [100]","Total cleared",284808
2018,"Total violent Criminal Code violations [100]","Total cleared",288783
2019,"Total violent Criminal Code violations [100]","Total cleared",292140
2010,"Total violent Criminal Code violations [100]","Total, persons charged",177601
2011,"Total violent Criminal Code violations [100]","Total, persons charged",170095
2012,"Total violent Criminal Code violations [100]","Total, persons charged",169048
2013,"Total violent Criminal Code violations [100]","Total, persons charged",158738
2014,"Total violent Criminal Code violations [100]","Total, persons charged",153827
2015,"Total violent Criminal Code violations [100]","Total, persons charged",158322
2016,"Total violent Criminal Code violations [100]","Total, persons charged",163239
2017,"Total violent Criminal Code violations [100]","Total, persons charged",167324
2018,"Total violent Criminal Code violations [100]","Total, persons charged",173047
2019,"Total violent Criminal Code violations [100]","Total, persons charged",187111
2010,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",600.2
2011,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",569.13
2012,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",559.51
2013,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",519.97
2014,"Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over",498.95
